,corpus,value
0,返佣,1.0
1,返利,0.781151101072892
2,理财,0.7363340909339854
3,平台,0.7313193808910924
4,投资,0.5028275738290936
5,网贷,0.3326025892924003
6,外汇,0.26007562763027686
7,开户,0.24994665225097984
8,金融,0.24144429653664137
9,现货,0.21886254241242914
10,提供,0.2184704771608812
11,期货,0.21408080105300195
12,互联网,0.18939580163211867
13,期权,0.15131460417993556
14,原油,0.14683722831028484
15,导购,0.1412851041078489
16,超市,0.1397238488703857
17,贵金属,0.1369766743737567
18,服务,0.13616307325800495
19,专业,0.1245321392705025
20,加息,0.10772866351099211
21,交易,0.10365110747844664
22,黄金,0.0992037080604639
23,网站,0.09279730550404786
24,投资者,0.084934493241352
25,产品,0.08298982306754313
26,羊毛,0.0772492270417741
27,客户,0.07404472931405057
28,专注,0.07230154730457379
29,用户,0.07043779067155893
30,财富,0.06909530403772457
31,收益,0.06839372579905992
32,优质,0.06819781874804819
33,资产,0.06516727583545963
34,咨询,0.06255208103838263
35,信息,0.06231741175955457
36,互金,0.05957363817756394
37,信托,0.05805198238846414
38,交易平台,0.056817811408336624
39,有限公司,0.05388561981128076
40,致力于,0.05288948041882137
41,行业,0.052418829862969946
42,返现,0.05241210156007072
43,领先,0.04944537054609925
44,商城,0.04941197623161102
45,代理,0.04933597250273441
46,外汇交易,0.04745553206740232
47,投资人,0.04520650606773753
48,手续费,0.04025494139717197
49,预警,0.04000632104324185
50,公司,0.03932019525585328
51,网络,0.03808216066674789
52,市场,0.03770900894375092
53,贷款,0.03713454559174667
54,国际,0.03693932587723427
55,个人,0.036777512414184345
56,福利,0.03541769656607884
57,打造,0.034880082529318346
58,专利,0.03410691617241722
59,理财产品,0.03317427991493619
60,商品,0.03285211339291769
61,购物,0.032469991478763234
62,佣网,0.03220882978096076
63,有色,0.032046803555981
64,赚钱,0.03182150124456601
65,消费,0.03179146842787122
66,记账,0.031614818910665046
67,降低,0.031494259134834515
68,支撑,0.031184492674939036
69,佣金,0.030964935368740346
70,综合,0.030160482172083874
71,期货交易,0.029953831143149492
72,交易成本,0.029604699131448413
73,沥青,0.02926026127271284
74,资金,0.029209350793444715
75,系统,0.027862749685386864
76,合作,0.027747603254060945
77,股票,0.02759239293624188
78,外盘,0.02711249618261467
79,交易商,0.027044318224630774
80,天然气,0.026772101950005893
81,中国,0.026268966509888355
82,品类,0.026075918656428537
83,品牌,0.025946395323331928
84,挖财,0.025794694163037868
85,个股,0.0255477497102935
86,发展,0.025344335025878163
87,官网,0.025285764225812368
88,搜索,0.025255863087512733
89,首选,0.025206341509655866
90,保障,0.024923294404213828
91,模式,0.024727120436106736
92,净值,0.02448131678660708
93,免费,0.023977142308278316
94,阻力,0.02393715158822975
95,盈利,0.02383917286461268
96,渠道,0.023823861288191285
97,反弹,0.02373565362370889
98,配置,0.023590018545729226
99,资管,0.023507439812074815
100,推广,0.023128066188457266
101,银行,0.02280176949074346
102,分享,0.02266671464743026
103,双顶,0.022537288242282152
104,甄选,0.022530897072291986
105,骗局,0.022530897072291986
106,论坛,0.022530897072291986
107,通道,0.022530897072291986
108,时线,0.022530897072291986
109,电子商务,0.022523494936256806
110,转让,0.02251069653621719
111,宁夏,0.022434888670259216
112,双底,0.022433392373228788
113,软件,0.02238534007368227
114,态度,0.022368036424526817
115,传销,0.022368036424526817
116,图片,0.022368036424526817
117,趋势,0.022368036424526817
118,均线,0.022368036424526817
119,分型,0.022317718522860533
120,环球,0.02231665797551085
121,体验,0.021913194788749674
122,品质,0.021659247715367563
123,试玩,0.021573665454562775
124,管理,0.02139881227340944
125,网赚,0.021343105032565556
126,布局,0.021254751767588557
127,进行,0.0209387052996124
128,成本,0.020608754438666308
129,蚂蚁,0.020411036109520747
130,乐豆,0.020406133526026573
131,电商,0.020276775039962072
132,现货交易,0.01993064992947467
133,搜财,0.01980988785196796
134,精选,0.019797637446229713
135,实现,0.019352560270378395
136,青山,0.01911999337502158
137,经济,0.01901192991204309
138,新疆,0.019001168482454367
139,汇集,0.01899889621079969
140,理财师,0.01899013791447593
141,贵铭,0.01897148626108465
142,网网,0.018941748736646905
143,游戏,0.01878928505200848
144,千店,0.018672546066411055
145,官方,0.018651425989211483
146,商标,0.018466696614035178
147,共享,0.018465859049765176
148,财富网,0.01845827329476739
149,吸粉,0.018428288761264757
150,手机,0.018411973143341365
151,增值,0.018411556455670157
152,官方网站,0.018355632171772322
153,推出,0.018316890455531202
154,导航,0.018297303678245384
155,旗下,0.01825019645308092
156,可靠,0.01814004043875308
157,消费者,0.0180852555053034
158,德金,0.018063969963652345
159,享受,0.018054337825873148
160,金融服务,0.017965862720483543
161,全国,0.0179337678715904
162,矩阵,0.017843585042992147
163,返还,0.01781637954288675
164,世纪,0.017767889662622098
165,蓝海,0.017764905637264215
166,湖南,0.017725303621624843
167,活动,0.017568382059182902
168,基金,0.0174942212876432
169,异业,0.017250228525640728
170,服务平台,0.01713372403010505
171,账户,0.017023854051682198
172,舟山,0.016962773956160738
173,浙江,0.016886571985334036
174,服装,0.0168095143555506
175,托管,0.016801094872600328
176,触底,0.01673202680964002
177,成为,0.016662917469436357
178,百城,0.016604848303135644
179,压力,0.01656402294648058
180,北京,0.016545476510810928
181,玩游戏,0.016133255884171523
182,优发,0.016093985683773137
183,网络科技,0.016067912289495376
184,累计,0.015877472581286963
185,控强,0.015871683933424058
186,兴业,0.015787530747299588
187,优风,0.0156872197300974
188,排名,0.015633965195735254
189,交易者,0.015613469341553814
190,独立,0.015432699141898902
191,保值,0.015408484137054682
192,团队,0.015168891726755767
193,信用卡,0.015134068441797146
194,超值,0.014897566860842109
195,加盟,0.01479732564644147
196,门户,0.014656471919855333
197,模拟,0.014655769904040394
198,获得,0.014565336615735638
199,特色,0.014450982704951433
200,排行榜,0.014386180671356023
201,代理商,0.014167697907485398
202,尽责,0.014024976356101948
203,注册,0.014011233772848996
204,特权,0.014010084149655067
205,企业级,0.013931214892012739
206,选择,0.013851184677704406
207,优选,0.013838101862689701
208,推荐,0.01380160371395406
209,果蔬,0.013791596907445742
210,分散,0.01377832899074794
211,信用,0.013773803586642912
212,零售,0.01359580346328779
213,知名,0.013581368883460471
214,财网,0.013571660250456268
215,创造,0.013564729737811957
216,奖励,0.013524866270668578
217,目标,0.013479850057869728
218,计划,0.013459784074447681
219,增长,0.013445271033354283
220,规划,0.013429442046479051
221,资讯,0.013407079391802744
222,测评,0.013401734698903493
223,伦敦,0.013390448084032856
224,天威,0.013380106219385915
225,行情,0.013346364555713763
226,涵盖,0.013292982617569766
227,京东,0.013242731597128538
228,外汇市场,0.013233248007405421
229,北商,0.013194805342208354
230,需求,0.01318381406347936
231,咨询服务,0.013116362157603234
232,提升,0.01305872997103858
233,高端,0.013047040127928627
234,客服,0.012955262406112729
235,小额,0.012884143389769067
236,创心,0.012873391170125923
237,资料,0.012786502095151002
238,角度,0.01274713436298599
239,带来,0.012746292551483648
240,果菜,0.01269171239336186
241,购享,0.012660849650550704
242,招商,0.0125746119876182
243,提高,0.012530666950182918
244,高额,0.012498034794207571
245,股权,0.012493657271665575
246,农产品,0.01249085009868331
247,家居,0.012489594154829508
248,居间,0.012423724454545789
249,千城,0.012280478602040325
250,契约,0.012245751269560299
251,环境,0.012242608204158937
252,整合,0.01216398790738664
253,时间,0.012160993031555739
254,分数,0.012124899940277514
255,借阅,0.012120124470759932
256,会员,0.01209007948215835
257,比例,0.012067551552783612
258,管家,0.012035635694972785
259,盒子,0.011988051798620027
260,返返,0.01197457676305954
261,滁州,0.011920982426350276
262,属于,0.011898421585694449
263,接触,0.011831435129231873
264,搜索引擎,0.011817137656661017
265,回报率,0.011785711567521758
266,点点,0.011778291134554735
267,南宁市,0.011770966494328457
268,谷品,0.011750941823998667
269,专家,0.011686369806112777
270,数码,0.011650197229913725
271,方向,0.011648065466695027
272,概念,0.011640980180613032
273,知识产权,0.011592024637576468
274,华东,0.011584043591813874
275,电子商城,0.011568661561478278
276,推手,0.011495214624508598
277,调研,0.011490086254947827
278,结果,0.01148660604506295
279,业务,0.011409348689627636
280,大圆,0.011388485709254614
281,成员,0.011349989007863258
282,天宜,0.01132303333303967
283,专门,0.01120554770846332
284,合作伙伴,0.011195610351334736
285,排行,0.0111938687887551
286,攻略,0.011161412346295651
287,指导,0.011158536227360237
288,作为,0.011079082194117365
289,玩转,0.011042237194921721
290,解决方案,0.01098498221912448
291,免费送,0.01095009874289921
292,超消费,0.010944475505194217
293,专属,0.010935775412555035
294,回报,0.010895702335021594
295,母婴,0.010869138132434644
296,审视,0.010867960930505911
297,烧钱,0.010865428744733974
298,管理机构,0.010835765597188528
299,解决,0.010834892265731585
300,点起,0.01079128546002056
301,图书,0.010786414022127516
302,咖之长,0.010771137764117285
303,石头,0.010752393997458903
304,媒体广告,0.01074334926836296
305,冲量,0.010728902790141702
306,搜返,0.01065714629751225
307,投入,0.01064985631064866
308,智能,0.01054519311324759
309,英国,0.010484096239236535
310,充值,0.010473831168592
311,需要,0.010470187243384568
312,充斥,0.0104649793874879
313,注册资金,0.010445988480508768
314,山东,0.010437298641012883
315,来自,0.010367431734524377
316,人人,0.010338665537444633
317,证件,0.01031541686949116
318,利益,0.010253174292072096
319,个代,0.010236197778938506
320,国民,0.010221926304515211
321,西南,0.010185668364791308
322,帮手,0.010173438309234674
323,指定,0.010144115421614367
324,中融,0.010092815098475162
325,协助,0.010092091141507355
326,出借,0.010078288313685293
327,电话,0.010059870586697814
328,领导者,0.010040055472568985
329,运营,0.009988679215330403
330,情况,0.00996945739254268
331,符合,0.009958002369720534
332,家庭理财,0.009951787288064355
333,购买,0.00991486877689052
334,无忧,0.009861717891373441
335,销售,0.009850054779771827
336,价值,0.009845631512946026
337,食品,0.009823842467476475
338,魔方,0.009820824197205275
339,专业化,0.009787227887423313
340,万店,0.009734349266780547
341,矿工,0.009723151032804106
342,没有,0.009697974394481704
343,致力,0.009692750094635659
344,增加,0.009677928749349357
345,上线,0.009671670894087471
346,中间商,0.009667062348941555
347,黑户,0.00963476125900519
348,认证,0.009630269747754341
349,铁算盘,0.009628732026312987
350,时代,0.009615743436369279
351,合法,0.009589617293883907
352,还给,0.009584835864946378
353,问道,0.009581222978011021
354,视角,0.00953358762068324
355,赶集,0.009513611706054914
356,节约,0.009450321572792207
357,借书,0.009447914696004419
358,借款,0.009423384150714016
