,corpus,value
0,返利,0.8227650777546262
1,返佣,0.5439494972802408
2,返佣网,0.3515216806936375
3,理财,0.33202673829622054
4,平台,0.297575668259417
5,网贷,0.2424287453059569
6,开户,0.14871318924758936
7,投资,0.13558914914350442
8,外汇,0.12852524928693534
9,现货,0.1183686597306768
10,导购,0.1048806293407478
11,期权,0.08559568797881495
12,期货,0.08368975442611913
13,互联网,0.0821409683954867
14,贵金属,0.08211221409947529
15,白银,0.08190247661840304
16,原油,0.08037568100455134
17,金融,0.07985860607346007
18,超市,0.0780353265366502
19,提供,0.058774586270098864
20,加息,0.0549801354543384
21,羊毛,0.0514013114250583
22,专业,0.04709631526524715
23,返现,0.04697056940302915
24,互金,0.04545538974486692
25,服务,0.045364269962444866
26,黄金,0.03890778611502662
27,专注,0.038276616485705954
28,网站,0.03732182172787072
29,财富,0.03550961079326743
30,国内,0.03239747596309252
31,交易平台,0.031922849234362484
32,外汇交易,0.03070567578022814
33,一站式,0.03063737264030418
34,佣网,0.030303593163244612
35,信托,0.027226953885252217
36,领先,0.02687317839996198
37,交易,0.026769310197541193
38,第三方,0.02579776894201521
39,二元,0.025602246934078584
40,理财网,0.0253777100956147
41,网上,0.024967737764745247
42,客户,0.024760582471543727
43,优质,0.024752590450869454
44,网网,0.02466533423675539
45,手续费,0.024414470012081115
46,综投之家,0.02424287453059569
47,安全,0.022490434501272496
48,收益,0.02245255521191255
49,外盘,0.021212515214271227
50,咨询,0.02116004953469582
51,预警,0.021104909005828898
52,代理,0.02091409603818251
53,投资者,0.020787311184878327
54,资产,0.020447547109110266
55,德金,0.02008749881581749
56,记账,0.01923286695456274
57,致力于,0.01918307143953232
58,期货交易,0.019140400869166033
59,国际期货,0.018514561272517112
60,产品,0.018481544795457543
61,用户,0.018158308938
62,福利,0.017495422093163498
63,沥青,0.016913937920209128
64,投资人,0.01679666424686692
65,官网,0.016666976239784536
66,商城,0.01616447709212928
67,正规,0.015129046153707224
68,理财产品,0.01438668825825095
69,品类,0.014297898070950572
70,交易所,0.014235445959447401
71,在线,0.0142014363727199
72,一家,0.014178618568694549
73,行业,0.01411558949095057
74,信息,0.013317771084334601
75,佣金,0.012756272100091257
76,现货交易,0.012711630723827631
